part,severity,damage_type,coverage_percent,cost
front_bumper,minor,crack,17.98,3246
back_glass,minor,glass shatter,21.31,12792
back_glass,minor,glass shatter,9.75,13885
front_door,minor,dent,22.61,3902
back_bumper,moderate,glass shatter,8.75,10795
back_door,moderate,tire flat,10.48,4362
back_door,moderate,glass shatter,14.6,15851
front_glass,moderate,scratch,22.07,5616
back_door,severe,glass shatter,22.32,28234
back_light,minor,scratch,14.64,613
front_door,minor,dent,12.57,3617
hood,moderate,crack,7.83,9349
front_bumper,minor,dent,8.75,2781
front_bumper,moderate,crack,3.38,5949
hood,minor,tire flat,12.72,4063
hood,minor,scratch,13.0,2424
back_light,moderate,scratch,1.71,1069
back_light,moderate,lamp broken,24.57,4572
front_door,minor,glass shatter,11.02,9512
back_bumper,moderate,dent,1.87,4270
front_bumper,moderate,dent,4.8,4673
front_glass,severe,tire flat,13.16,15027
front_door,minor,tire flat,20.82,3689
back_glass,minor,dent,19.58,5105
front_light,minor,glass shatter,19.57,4409
front_light,minor,scratch,8.04,680
back_door,moderate,tire flat,21.46,4659
hood,moderate,glass shatter,1.52,22631
back_bumper,minor,dent,11.57,2354
back_bumper,moderate,scratch,2.32,2012
hood,moderate,crack,13.08,10469
front_glass,minor,tire flat,2.49,5481
hood,severe,lamp broken,24.35,27524
back_bumper,severe,scratch,1.8,3147
front_bumper,moderate,scratch,12.41,2189
back_glass,minor,glass shatter,6.31,12527
hood,moderate,glass shatter,12.83,21774
back_glass,minor,dent,19.55,5723
front_light,minor,crack,20.25,2353
front_door,moderate,lamp broken,8.61,10558
back_glass,minor,crack,2.07,6188
back_bumper,minor,scratch,22.1,1338
front_door,moderate,dent,18.13,6999
front_light,minor,lamp broken,7.56,2983
back_bumper,minor,crack,15.49,3259
back_door,moderate,scratch,5.47,2929
front_glass,moderate,lamp broken,14.24,22382
hood,severe,tire flat,1.87,10053
back_door,minor,lamp broken,17.73,6586
front_glass,minor,tire flat,23.85,5221
back_door,moderate,lamp broken,19.03,11282
back_bumper,minor,tire flat,6.02,2061
front_glass,moderate,dent,21.63,13450
back_door,severe,dent,5.85,8914
back_light,moderate,crack,21.94,3499
back_light,moderate,lamp broken,21.57,4692
back_door,minor,dent,3.82,4008
hood,severe,glass shatter,6.12,33821
back_door,minor,lamp broken,1.85,6267
back_light,moderate,lamp broken,9.85,3780
back_glass,minor,tire flat,2.74,4191
front_bumper,minor,dent,18.44,3276
front_door,minor,crack,20.43,4795
hood,severe,scratch,10.33,5876
hood,minor,scratch,1.56,1972
front_glass,minor,lamp broken,1.96,10951
hood,minor,crack,14.5,5575
front_glass,minor,crack,21.55,9743
back_glass,moderate,lamp broken,11.03,14347
front_bumper,moderate,lamp broken,4.98,9198
front_bumper,minor,scratch,23.13,1500
back_bumper,minor,glass shatter,3.09,5704
back_light,moderate,glass shatter,3.21,6208
back_bumper,minor,tire flat,13.98,1839
back_light,minor,scratch,4.05,680
back_door,minor,lamp broken,23.26,7946
back_bumper,minor,crack,15.49,3462
back_light,severe,crack,3.46,4138
hood,minor,tire flat,14.31,4254
back_light,minor,lamp broken,13.2,2611
back_light,minor,crack,9.69,1668
back_door,moderate,glass shatter,18.61,14790
front_glass,minor,crack,11.99,7579
front_light,minor,crack,8.94,2088
back_light,moderate,tire flat,23.46,1813
back_bumper,moderate,tire flat,23.4,3766
front_bumper,moderate,glass shatter,7.14,11155
hood,minor,lamp broken,22.67,10428
back_door,minor,glass shatter,15.29,9212
front_bumper,minor,scratch,20.5,1377
back_light,minor,dent,20.78,1480
front_door,severe,tire flat,6.94,7709
front_light,moderate,glass shatter,11.71,8271
front_door,minor,glass shatter,10.76,9872
back_glass,moderate,scratch,2.6,3730
hood,minor,tire flat,15.05,3769
hood,moderate,scratch,21.98,3763
back_glass,moderate,dent,24.68,9146
front_bumper,minor,crack,11.08,3280
back_glass,severe,scratch,11.66,6071
back_light,minor,crack,10.0,1964
back_bumper,moderate,lamp broken,12.33,7263
back_glass,moderate,tire flat,17.6,7325
back_bumper,moderate,glass shatter,8.72,10209
front_light,minor,glass shatter,6.59,4563
back_light,minor,crack,16.55,1913
front_bumper,minor,dent,9.23,3028
front_light,minor,crack,13.44,2118
front_door,minor,scratch,13.41,1942
back_glass,moderate,scratch,11.6,3790
front_bumper,moderate,scratch,6.19,2176
back_glass,moderate,lamp broken,10.63,15006
hood,minor,crack,5.39,5416
front_light,minor,dent,19.59,1633
front_bumper,moderate,tire flat,8.58,4140
back_glass,minor,glass shatter,14.95,14423
front_bumper,minor,tire flat,13.55,2346
back_door,severe,lamp broken,19.07,20268
front_glass,minor,tire flat,7.67,5611
back_light,moderate,lamp broken,11.16,4262
front_door,minor,crack,21.59,5818
back_bumper,minor,crack,6.56,3247
back_light,minor,tire flat,2.23,969
hood,moderate,scratch,18.35,3470
front_door,minor,tire flat,3.51,2734
front_door,minor,glass shatter,5.04,9777
back_glass,minor,tire flat,17.33,4463
hood,minor,tire flat,24.88,4222
back_glass,minor,tire flat,9.18,3612
front_glass,moderate,tire flat,17.0,10037
back_glass,moderate,tire flat,17.9,6212
front_door,minor,scratch,19.0,1849
front_door,severe,crack,14.27,15129
back_door,minor,dent,13.52,4217
front_glass,minor,dent,12.61,6432
back_door,moderate,lamp broken,9.91,11523
front_glass,minor,scratch,1.95,2835
back_light,minor,lamp broken,7.31,2826
front_door,moderate,scratch,2.42,3093
hood,minor,lamp broken,2.35,8337
back_light,moderate,tire flat,8.25,1902
front_bumper,moderate,tire flat,7.76,4028
back_light,minor,crack,18.84,1823
hood,moderate,dent,16.37,7624
front_door,minor,glass shatter,14.69,9738
back_light,minor,scratch,9.19,642
front_bumper,minor,lamp broken,16.62,5168
front_light,minor,lamp broken,23.43,3290
front_light,minor,dent,24.43,1900
back_glass,moderate,tire flat,16.38,6744
back_door,moderate,scratch,20.73,2656
front_light,minor,crack,23.42,2340
front_door,moderate,tire flat,5.74,4940
hood,severe,crack,6.73,14666
back_light,severe,crack,3.06,4222
front_glass,moderate,dent,23.0,11014
front_glass,moderate,dent,9.76,12974
front_door,moderate,lamp broken,13.3,12350
front_bumper,moderate,dent,23.0,5607
back_light,minor,glass shatter,9.3,3735
back_light,moderate,dent,23.69,2329
back_glass,moderate,scratch,8.23,3790
back_light,minor,scratch,18.31,716
front_door,minor,scratch,16.91,1948
front_glass,minor,dent,17.57,7456
front_light,moderate,glass shatter,2.16,6547
front_bumper,moderate,crack,16.19,5887
back_glass,moderate,crack,14.54,9984
back_door,moderate,crack,22.71,7746
front_bumper,moderate,glass shatter,9.9,13448
back_glass,minor,crack,23.89,6550
back_light,moderate,glass shatter,4.36,5325
hood,minor,glass shatter,2.05,13038
front_bumper,minor,lamp broken,18.23,5136
back_glass,severe,glass shatter,14.83,38675
front_light,minor,lamp broken,3.61,2683
back_bumper,minor,tire flat,24.42,2155
front_door,moderate,dent,3.84,6251
back_door,severe,dent,12.41,9760
front_glass,severe,lamp broken,20.54,32866
back_door,minor,crack,1.93,4697
back_light,minor,tire flat,15.87,1215
front_bumper,moderate,scratch,13.46,2226
back_glass,moderate,dent,3.85,8922
back_glass,minor,dent,3.94,4520
hood,minor,scratch,5.4,2260
hood,minor,crack,18.21,6058
front_bumper,minor,glass shatter,4.2,7281
front_door,moderate,glass shatter,14.61,17110
front_door,minor,scratch,1.69,1573
front_light,minor,crack,3.27,2148
front_bumper,minor,lamp broken,6.88,5222
back_door,moderate,glass shatter,24.45,18816
front_glass,minor,scratch,6.05,2693
front_bumper,moderate,crack,9.78,6535
back_door,moderate,glass shatter,2.04,15134
back_glass,minor,glass shatter,13.19,12844
back_door,minor,tire flat,23.71,3272
hood,minor,glass shatter,1.71,12980
front_glass,minor,dent,8.44,7564
hood,severe,scratch,23.1,6876
back_bumper,minor,scratch,17.59,1257
front_glass,minor,tire flat,14.45,5928
back_bumper,moderate,glass shatter,6.71,10358
back_glass,minor,crack,2.69,6751
back_light,moderate,crack,22.93,3392
front_door,moderate,dent,19.31,6650
front_bumper,severe,dent,15.02,8069
front_glass,moderate,crack,6.59,14110
front_glass,moderate,crack,17.92,15508
front_door,minor,glass shatter,19.74,11467
back_bumper,moderate,glass shatter,8.27,10532
back_bumper,moderate,tire flat,17.63,3675
hood,severe,crack,3.56,17455
hood,moderate,tire flat,23.92,7132
hood,severe,scratch,6.34,5805
front_door,minor,dent,14.9,4653
back_door,minor,crack,12.19,5106
front_glass,moderate,glass shatter,2.56,30834
back_bumper,moderate,dent,20.25,4878
back_light,moderate,dent,4.14,2315
back_door,moderate,dent,16.79,6538
front_bumper,minor,glass shatter,21.85,8117
back_bumper,minor,dent,23.97,2541
back_bumper,minor,crack,2.41,3164
front_door,moderate,scratch,6.3,3274
back_bumper,minor,tire flat,8.62,2159
back_light,minor,lamp broken,4.17,2270
back_door,moderate,tire flat,5.52,4986
front_glass,minor,dent,21.53,7632
front_bumper,minor,crack,17.62,4101
front_glass,minor,crack,6.2,7719
front_bumper,minor,glass shatter,9.94,7294
front_door,minor,tire flat,22.72,3430
back_glass,minor,dent,22.2,6043
front_bumper,moderate,dent,6.56,4338
back_light,minor,glass shatter,12.04,3659
front_glass,minor,tire flat,18.47,5765
front_bumper,moderate,dent,19.54,5285
back_light,moderate,dent,14.08,2474
back_light,minor,lamp broken,18.84,2756
hood,minor,glass shatter,10.39,11451
back_door,moderate,scratch,17.72,2982
front_light,moderate,tire flat,18.23,2259
back_bumper,minor,lamp broken,17.1,4587
front_bumper,moderate,dent,13.18,4615
back_bumper,minor,lamp broken,24.11,5002
front_bumper,moderate,crack,23.86,5639
front_glass,minor,scratch,24.82,3101
back_door,moderate,scratch,13.57,2874
back_bumper,minor,glass shatter,3.47,7122
front_light,minor,dent,22.7,1877
front_bumper,moderate,lamp broken,24.14,8598
hood,moderate,glass shatter,8.89,21139
front_glass,moderate,dent,17.71,12307
back_light,minor,dent,19.19,1423
front_light,minor,lamp broken,17.64,3520
front_light,minor,dent,11.1,1852
front_glass,minor,scratch,18.02,3586
hood,severe,dent,6.08,13805
front_door,moderate,lamp broken,7.35,10810
back_light,moderate,lamp broken,23.29,4149
front_bumper,minor,crack,11.06,3410
back_bumper,moderate,dent,20.53,5075
front_glass,moderate,dent,11.91,10814
hood,minor,dent,21.05,5830
back_glass,minor,scratch,2.86,2454
front_glass,minor,tire flat,4.15,4849
hood,minor,tire flat,15.86,4068
back_bumper,moderate,tire flat,24.66,3983
back_bumper,moderate,crack,9.85,5221
front_light,minor,glass shatter,22.14,5030
back_bumper,minor,lamp broken,13.75,4999
front_glass,moderate,crack,12.04,12962
front_door,minor,tire flat,18.15,3540
hood,moderate,scratch,5.49,3212
back_bumper,minor,crack,16.5,3262
back_light,moderate,dent,1.62,2401
hood,moderate,dent,20.6,8628
front_glass,minor,scratch,11.38,3403
back_light,moderate,tire flat,20.34,2062
front_glass,severe,dent,18.29,19595
hood,moderate,dent,20.56,9071
hood,moderate,crack,11.69,9333
front_glass,minor,glass shatter,19.7,17483
front_glass,minor,tire flat,16.59,5619
back_bumper,minor,lamp broken,6.01,4058
back_light,minor,dent,20.12,1403
back_bumper,moderate,scratch,6.99,1893
front_light,minor,dent,14.33,1724
front_glass,moderate,dent,20.2,12463
back_door,minor,glass shatter,16.99,9694
front_glass,minor,crack,9.6,8794
front_bumper,severe,crack,6.62,8809
hood,minor,crack,13.83,5456
back_light,moderate,scratch,11.71,1200
front_light,moderate,scratch,15.92,1485
hood,minor,glass shatter,11.9,11319
front_light,moderate,scratch,8.09,1158
hood,minor,crack,18.1,5933
back_glass,minor,dent,22.0,5795
front_door,minor,glass shatter,6.97,11387
back_bumper,minor,lamp broken,9.1,4665
front_glass,minor,lamp broken,4.14,13306
back_bumper,minor,crack,15.66,3502
back_door,moderate,glass shatter,22.22,18946
back_door,moderate,scratch,1.76,2877
front_bumper,minor,dent,1.69,2808
front_light,moderate,dent,9.1,2929
back_bumper,minor,lamp broken,3.71,4375
front_bumper,moderate,dent,13.53,5017
front_door,moderate,glass shatter,22.78,20542
front_glass,minor,lamp broken,2.11,11879
front_bumper,moderate,scratch,2.11,2264
front_door,moderate,tire flat,14.92,5794
back_light,moderate,lamp broken,3.93,4045
front_glass,moderate,scratch,10.18,5507
front_glass,minor,crack,7.59,8431
back_door,minor,dent,14.86,3941
front_bumper,minor,glass shatter,14.73,7935
front_bumper,minor,dent,4.47,3042
back_bumper,severe,glass shatter,17.32,20111
back_bumper,minor,tire flat,10.87,2065
front_door,moderate,glass shatter,8.25,15249
front_bumper,moderate,crack,23.22,6232
hood,severe,lamp broken,11.37,20708
back_bumper,minor,crack,4.96,3422
hood,moderate,glass shatter,15.15,19408
front_bumper,severe,glass shatter,3.15,21221
back_glass,minor,crack,22.16,6993
front_light,minor,lamp broken,18.09,3259
front_light,minor,tire flat,17.61,1514
front_glass,severe,crack,1.25,19461
back_light,minor,lamp broken,14.79,2899
back_bumper,minor,crack,6.89,3234
back_door,minor,dent,9.93,4041
front_glass,moderate,dent,19.32,11462
front_light,minor,scratch,6.78,746
front_bumper,minor,crack,7.41,3608
front_glass,moderate,tire flat,12.29,8830
back_light,minor,dent,7.92,1589
back_light,minor,crack,12.72,1823
hood,moderate,dent,14.7,8548
front_bumper,moderate,tire flat,17.12,3569
back_bumper,minor,scratch,8.76,1116
front_light,minor,tire flat,14.54,1263
front_door,minor,scratch,2.27,1672
hood,minor,lamp broken,13.56,9402
back_glass,minor,lamp broken,8.43,9878
back_light,severe,crack,14.45,4351
front_light,moderate,lamp broken,14.8,5523
front_bumper,severe,tire flat,4.99,6162
front_door,moderate,crack,12.97,8094
back_door,minor,lamp broken,9.87,6912
front_light,minor,dent,14.84,1859
back_bumper,moderate,scratch,19.52,1829
front_glass,minor,dent,20.78,7756
front_bumper,minor,glass shatter,12.24,6761
front_light,moderate,lamp broken,16.49,5833
back_door,severe,glass shatter,2.09,24145
front_glass,moderate,crack,20.02,16019
back_glass,minor,lamp broken,11.94,9017
back_door,severe,crack,2.44,11897
back_bumper,moderate,scratch,2.32,1850
front_glass,minor,crack,19.1,9096
back_glass,moderate,scratch,18.95,3632
hood,minor,crack,3.29,5694
front_door,moderate,tire flat,1.91,4928
front_bumper,minor,lamp broken,23.83,5714
back_glass,minor,crack,12.35,6896
front_light,minor,lamp broken,15.85,3192
front_glass,minor,crack,22.62,9046
front_bumper,moderate,dent,16.46,4770
back_door,minor,dent,6.42,3838
hood,minor,scratch,14.35,2112
back_door,minor,tire flat,19.48,3271
front_bumper,moderate,dent,1.22,4805
back_light,minor,lamp broken,6.8,2730
hood,moderate,crack,21.46,11710
front_bumper,moderate,lamp broken,8.95,8209
front_door,minor,dent,6.12,3852
back_door,severe,dent,8.59,10482
front_bumper,moderate,lamp broken,5.4,7517
back_light,severe,tire flat,6.31,2911
hood,minor,dent,12.92,5453
front_door,minor,lamp broken,21.36,6948
front_door,severe,dent,18.62,10634
front_bumper,moderate,tire flat,8.68,4092
front_glass,moderate,scratch,2.42,4983
hood,minor,dent,8.11,5397
back_glass,minor,dent,13.7,5636
back_door,moderate,glass shatter,9.11,14203
back_bumper,moderate,scratch,2.36,1904
back_bumper,minor,lamp broken,7.26,4651
front_bumper,moderate,crack,19.89,6009
back_light,minor,tire flat,3.5,1222
back_door,minor,lamp broken,2.37,7114
front_light,moderate,glass shatter,6.74,6632
hood,minor,glass shatter,5.83,10962
front_glass,minor,lamp broken,12.26,13639
front_bumper,moderate,crack,9.86,5343
back_light,minor,glass shatter,22.92,3645
front_glass,moderate,scratch,14.35,5705
front_light,moderate,crack,14.63,3344
front_door,moderate,crack,20.14,7752
back_glass,moderate,glass shatter,24.22,23312
back_door,minor,glass shatter,8.22,10717
front_light,moderate,lamp broken,4.43,5457
hood,moderate,scratch,19.45,4196
back_light,minor,glass shatter,19.58,4185
front_bumper,moderate,crack,2.73,6177
front_light,moderate,scratch,1.06,1299
front_door,minor,crack,11.79,5548
back_light,moderate,glass shatter,15.4,6058
front_glass,moderate,tire flat,20.4,10537
front_glass,minor,glass shatter,18.67,20224
back_bumper,minor,glass shatter,5.32,6676
hood,minor,crack,16.29,5539
front_glass,minor,crack,12.79,9323
back_bumper,moderate,dent,6.91,4317
back_glass,minor,lamp broken,22.54,8962
hood,minor,glass shatter,10.02,11629
back_bumper,minor,dent,1.68,2771
back_light,minor,crack,19.6,2023
front_glass,moderate,tire flat,15.74,9206
hood,minor,scratch,5.48,1932
front_light,moderate,crack,2.63,3305
front_bumper,minor,lamp broken,3.17,4826
back_glass,moderate,glass shatter,18.51,21594
front_door,minor,dent,22.28,4192
back_light,minor,crack,22.61,2006
front_glass,minor,tire flat,10.96,5006
back_door,minor,dent,5.73,3986
back_door,moderate,crack,18.92,8280
back_door,moderate,lamp broken,5.56,9981
back_bumper,minor,lamp broken,1.27,4208
hood,minor,tire flat,9.99,3845
back_bumper,severe,glass shatter,23.36,20761
front_glass,minor,glass shatter,23.28,17185
back_light,minor,tire flat,21.88,1334
hood,minor,glass shatter,23.46,12068
front_light,minor,tire flat,20.43,1415
hood,minor,tire flat,3.18,3974
back_glass,severe,lamp broken,24.24,23447
back_glass,moderate,crack,15.14,11961
back_bumper,minor,scratch,4.23,1124
front_door,moderate,glass shatter,20.96,17974
front_glass,minor,crack,23.35,9205
back_glass,minor,glass shatter,14.36,14008
front_glass,moderate,glass shatter,18.32,32951
front_door,moderate,dent,1.42,5917
back_door,minor,crack,12.89,4381
front_bumper,moderate,scratch,2.06,2260
back_door,severe,scratch,24.47,5225
back_glass,minor,lamp broken,20.66,9257
back_door,minor,glass shatter,13.11,8881
back_glass,severe,tire flat,6.53,11575
front_light,minor,glass shatter,6.07,4881
back_bumper,minor,scratch,9.24,1230
front_glass,minor,lamp broken,19.24,13725
front_light,moderate,glass shatter,11.27,8052
back_bumper,moderate,tire flat,14.84,3437
front_light,minor,dent,6.77,1789
back_glass,minor,crack,17.32,7056
hood,minor,dent,17.6,5415
front_glass,moderate,scratch,23.33,4993
front_glass,minor,lamp broken,20.53,14111
back_glass,moderate,crack,23.54,12518
back_door,minor,crack,6.31,4626
front_door,severe,scratch,16.09,5009
front_light,moderate,tire flat,18.05,2568
back_glass,minor,crack,20.33,7254
front_door,severe,tire flat,2.6,8302
hood,moderate,crack,23.0,9846
hood,severe,dent,12.96,13150
front_light,minor,lamp broken,22.41,3120
front_door,minor,scratch,13.47,1943
front_light,minor,scratch,13.37,861
front_light,minor,lamp broken,18.6,3133
back_bumper,minor,scratch,13.11,1308
front_bumper,severe,dent,3.59,7168
back_bumper,minor,scratch,24.33,1225
back_light,minor,crack,4.45,1579
back_light,minor,glass shatter,21.2,4131
front_glass,minor,crack,10.17,9013
hood,minor,dent,16.86,5437
front_door,moderate,crack,13.75,8030
front_glass,minor,crack,17.65,8753
front_glass,moderate,scratch,7.21,5054
front_bumper,moderate,tire flat,1.23,3436
back_glass,moderate,scratch,7.31,3408
front_bumper,minor,dent,18.68,2937
hood,minor,crack,18.59,6993
back_light,minor,tire flat,10.26,1253
back_glass,moderate,crack,13.87,10644
hood,severe,crack,24.81,17076
back_light,minor,dent,8.33,1345
front_bumper,moderate,dent,23.3,5616
back_bumper,moderate,glass shatter,15.01,10414
front_glass,minor,crack,12.13,9005
hood,minor,dent,21.8,5362
front_bumper,moderate,scratch,23.31,2193
front_bumper,minor,tire flat,18.04,2479
back_bumper,moderate,lamp broken,17.16,8773
front_light,moderate,lamp broken,19.64,6053
front_bumper,minor,dent,15.91,2983
back_bumper,severe,crack,10.19,8549
back_bumper,moderate,crack,5.38,5186
front_glass,minor,tire flat,5.12,5250
back_light,moderate,lamp broken,18.48,4115
front_glass,moderate,dent,11.85,12424
front_bumper,minor,scratch,24.96,1417
back_light,minor,lamp broken,9.04,2321
back_glass,minor,dent,1.58,4414
back_light,moderate,scratch,7.93,990
front_door,moderate,glass shatter,1.25,18146
hood,severe,dent,12.06,14292
front_bumper,minor,dent,2.39,2967
hood,minor,scratch,6.19,2406
front_glass,minor,crack,4.75,7653
back_door,minor,crack,22.18,4429
back_door,moderate,lamp broken,4.08,10756
back_bumper,minor,lamp broken,6.72,4218
front_glass,moderate,glass shatter,5.39,31989
back_bumper,minor,lamp broken,22.91,4547
back_glass,moderate,dent,3.04,8068
hood,minor,lamp broken,22.85,8454
back_bumper,minor,glass shatter,24.18,7594
back_door,minor,scratch,7.9,1849
back_light,minor,dent,20.52,1461
back_light,moderate,lamp broken,11.99,4437
back_light,moderate,scratch,24.05,1011
hood,minor,dent,12.83,5204
front_light,minor,crack,19.62,2454
front_door,minor,glass shatter,16.29,9932
front_light,moderate,lamp broken,8.26,4726
hood,moderate,glass shatter,7.3,22116
back_bumper,moderate,crack,2.84,5639
back_glass,minor,lamp broken,21.47,10570
front_door,severe,tire flat,24.77,7944
front_light,minor,crack,3.75,1962
back_glass,minor,lamp broken,8.29,9669
front_light,moderate,scratch,18.25,1257
back_light,moderate,scratch,7.95,956
back_glass,minor,glass shatter,7.31,13039
back_light,minor,lamp broken,1.26,2494
front_glass,minor,tire flat,24.24,5257
hood,moderate,dent,10.72,8878
back_glass,severe,glass shatter,21.32,41929
back_bumper,minor,glass shatter,13.83,6872
hood,moderate,scratch,12.39,3542
back_bumper,moderate,lamp broken,3.11,7495
back_glass,minor,tire flat,7.69,3822
front_door,moderate,tire flat,9.77,5495
back_glass,minor,lamp broken,3.13,9489
back_bumper,moderate,dent,24.01,4942
back_bumper,moderate,lamp broken,16.46,8937
back_glass,minor,lamp broken,5.48,8623
back_light,minor,scratch,11.28,627
back_door,severe,glass shatter,12.92,27539
front_door,moderate,crack,2.31,8031
back_bumper,minor,scratch,6.01,1024
front_light,minor,dent,7.09,1758
back_light,minor,lamp broken,14.94,2962
back_door,moderate,scratch,8.47,2799
front_glass,moderate,glass shatter,21.81,34442
back_glass,minor,scratch,14.93,2399
front_glass,minor,dent,16.29,6433
back_door,moderate,dent,19.28,6524
back_door,minor,glass shatter,13.46,9009
back_door,moderate,crack,8.84,8091
front_bumper,minor,glass shatter,12.86,7828
back_door,minor,lamp broken,24.88,6489
back_light,moderate,scratch,23.67,1027
back_glass,moderate,scratch,24.02,4538
front_bumper,severe,tire flat,13.51,6228
front_door,minor,tire flat,21.1,3455
front_light,severe,crack,1.88,6102
hood,minor,lamp broken,8.58,7687
front_light,moderate,crack,4.6,3504
back_bumper,moderate,lamp broken,24.46,9042
back_glass,minor,scratch,14.85,2485
back_glass,moderate,lamp broken,24.05,17908
back_bumper,moderate,lamp broken,3.98,7542
front_glass,minor,tire flat,21.08,6112
back_bumper,severe,dent,22.23,8158
front_light,moderate,crack,19.12,4114
hood,minor,glass shatter,15.58,13693
back_light,minor,scratch,16.14,589
front_glass,moderate,dent,1.94,10106
back_glass,severe,tire flat,22.87,11160
back_bumper,minor,tire flat,6.55,2202
back_bumper,minor,scratch,18.11,1350
hood,minor,glass shatter,18.96,12435
front_bumper,moderate,crack,11.35,5464
front_glass,minor,crack,16.72,7819
back_glass,moderate,dent,19.67,10147
front_light,minor,dent,5.47,1721
back_light,minor,crack,7.06,1657
front_glass,moderate,glass shatter,17.46,31125
front_door,minor,lamp broken,20.51,8509
back_glass,minor,glass shatter,22.04,13291
back_bumper,moderate,tire flat,22.09,3973
back_light,severe,tire flat,14.42,2904
back_light,moderate,tire flat,16.49,2112
front_glass,severe,scratch,12.46,8748
front_door,minor,glass shatter,12.28,11498
