part,severity,damage_type,coverage_percent,cost
hood,minor,dent,8.55,4676
front_glass,moderate,lamp broken,1.03,22016
front_light,minor,glass shatter,13.44,4713
front_light,minor,tire flat,2.24,1223
back_glass,minor,crack,17.76,5926
back_light,minor,tire flat,14.22,1176
back_door,severe,scratch,22.91,4721
back_door,moderate,tire flat,12.96,5305
hood,minor,tire flat,21.03,4632
back_light,moderate,glass shatter,10.21,6989
hood,moderate,tire flat,21.74,6351
front_glass,severe,crack,13.19,25353
front_bumper,minor,tire flat,15.09,2664
front_light,minor,scratch,12.62,749
hood,minor,glass shatter,8.72,11465
back_light,minor,lamp broken,21.54,2667
front_door,minor,tire flat,22.92,3258
back_glass,severe,glass shatter,4.03,39517
front_door,moderate,dent,11.57,6916
front_light,moderate,dent,10.84,3063
back_glass,minor,dent,24.26,5349
front_glass,minor,tire flat,8.89,5697
hood,severe,glass shatter,16.04,38729
front_light,minor,lamp broken,2.64,3120
front_bumper,moderate,scratch,11.42,1922
back_door,minor,glass shatter,8.19,8297
front_door,minor,dent,10.0,3666
hood,moderate,glass shatter,20.02,20022
back_door,moderate,lamp broken,15.87,10689
back_glass,minor,scratch,7.1,2139
back_bumper,severe,glass shatter,17.26,16682
front_light,severe,crack,8.18,6422
front_bumper,moderate,glass shatter,5.78,11778
front_light,minor,dent,14.73,1830
front_bumper,severe,dent,16.8,7510
back_bumper,moderate,lamp broken,20.99,9155
back_light,moderate,lamp broken,6.26,3865
front_bumper,moderate,tire flat,19.42,4163
back_glass,minor,tire flat,16.06,3641
front_light,moderate,dent,18.58,2676
front_bumper,moderate,crack,5.22,5190
hood,minor,crack,22.92,7060
front_bumper,severe,glass shatter,8.08,21844
back_door,severe,glass shatter,4.38,28598
front_glass,minor,lamp broken,19.98,11203
hood,minor,dent,17.15,5390
front_glass,severe,tire flat,3.6,12999
back_bumper,moderate,lamp broken,14.47,8914
back_light,minor,tire flat,20.77,1336
front_bumper,minor,tire flat,4.35,2497
front_bumper,minor,glass shatter,6.64,7423
front_glass,minor,glass shatter,23.79,20177
hood,moderate,glass shatter,18.44,24461
back_door,moderate,glass shatter,23.54,16106
front_door,minor,scratch,23.81,2136
back_door,minor,tire flat,22.64,3262
back_bumper,minor,glass shatter,24.24,8109
front_light,moderate,dent,16.4,3094
back_bumper,moderate,dent,6.85,3844
back_light,moderate,dent,14.3,2545
back_light,moderate,crack,19.93,3201
front_bumper,severe,scratch,13.97,3832
back_door,moderate,tire flat,4.16,4586
back_light,minor,lamp broken,5.18,2205
front_glass,minor,lamp broken,2.53,11834
front_door,moderate,lamp broken,11.85,11228
back_bumper,moderate,tire flat,21.81,3620
front_light,severe,tire flat,2.46,3481
front_glass,moderate,glass shatter,12.77,33852
back_door,minor,dent,4.56,3295
hood,minor,tire flat,24.87,4171
front_light,moderate,lamp broken,3.38,5323
hood,moderate,tire flat,11.32,7207
front_glass,moderate,crack,10.57,15271
front_door,minor,glass shatter,7.12,11665
front_light,minor,dent,3.05,1660
front_door,moderate,scratch,15.08,3157
front_door,minor,tire flat,9.49,3324
front_glass,minor,tire flat,7.9,5101
back_door,minor,lamp broken,4.71,6544
back_door,moderate,crack,9.82,8317
back_light,moderate,glass shatter,24.39,7261
hood,moderate,dent,16.79,9022
back_bumper,minor,scratch,19.3,1369
front_door,minor,dent,4.44,4162
back_door,moderate,scratch,24.32,2646
hood,minor,scratch,11.89,2003
front_bumper,minor,tire flat,23.59,2485
back_bumper,minor,scratch,15.83,1261
front_bumper,moderate,glass shatter,12.66,12382
front_bumper,moderate,scratch,3.73,2055
front_bumper,moderate,tire flat,12.68,4020
back_bumper,minor,scratch,15.38,1026
front_bumper,moderate,scratch,19.34,2120
back_door,minor,dent,11.34,3407
hood,minor,tire flat,14.41,4134
front_door,minor,dent,18.81,4180
front_light,moderate,dent,14.82,3050
front_glass,minor,crack,1.5,7799
front_light,severe,tire flat,3.12,3867
back_light,moderate,glass shatter,13.58,6132
front_bumper,minor,tire flat,8.99,2041
hood,minor,tire flat,13.24,4384
front_door,moderate,crack,20.65,9552
back_light,minor,dent,5.73,1472
back_door,severe,scratch,16.07,4580
front_light,severe,tire flat,14.55,3858
front_door,minor,tire flat,11.55,3174
front_bumper,moderate,crack,9.45,5196
front_light,minor,glass shatter,9.85,4196
back_door,moderate,lamp broken,10.23,11523
back_bumper,severe,glass shatter,14.72,16649
front_light,minor,lamp broken,2.48,2656
front_door,minor,tire flat,16.51,2838
front_light,minor,glass shatter,15.64,4415
front_bumper,minor,glass shatter,9.12,7642
front_door,minor,dent,14.39,4035
front_bumper,moderate,tire flat,24.15,4161
back_glass,minor,crack,16.93,7441
front_bumper,moderate,tire flat,10.41,3897
back_door,moderate,crack,16.44,7571
back_glass,moderate,tire flat,23.73,8310
hood,moderate,dent,11.16,7984
front_door,minor,crack,6.14,5544
front_light,minor,scratch,4.3,664
back_door,moderate,lamp broken,21.04,13161
back_bumper,minor,tire flat,19.39,1905
front_glass,minor,scratch,20.95,3535
back_glass,minor,tire flat,10.86,4315
back_light,moderate,glass shatter,19.06,7023
back_light,minor,lamp broken,24.17,3000
back_light,moderate,crack,14.69,2987
front_bumper,minor,glass shatter,11.05,6761
back_light,minor,lamp broken,7.0,2663
front_door,severe,lamp broken,18.07,20218
back_door,minor,crack,4.85,4459
hood,moderate,scratch,3.2,3983
front_light,severe,crack,10.96,5563
front_door,minor,scratch,2.96,1615
front_door,moderate,dent,16.6,7624
back_glass,minor,dent,20.91,5844
back_glass,minor,tire flat,15.77,4696
back_bumper,minor,crack,4.59,3530
hood,minor,glass shatter,7.91,11832
back_bumper,minor,scratch,20.05,1208
back_door,moderate,glass shatter,1.39,15574
back_light,minor,tire flat,11.3,1180
back_light,minor,lamp broken,16.94,2357
front_door,severe,dent,14.06,12039
hood,minor,lamp broken,21.96,8087
front_glass,minor,crack,1.39,8904
front_door,moderate,scratch,16.08,3362
front_door,minor,scratch,14.1,2021
back_glass,minor,tire flat,17.69,4400
back_glass,moderate,dent,23.65,8071
back_light,moderate,dent,22.26,2437
front_bumper,minor,lamp broken,20.57,5410
back_bumper,minor,tire flat,9.57,2206
front_door,minor,crack,9.83,5558
front_light,minor,glass shatter,5.48,4626
front_door,minor,lamp broken,2.98,6870
front_glass,severe,lamp broken,5.33,30533
back_door,minor,dent,8.1,3702
front_glass,moderate,scratch,9.44,4487
front_door,severe,lamp broken,7.59,21836
back_bumper,moderate,dent,10.75,4412
back_glass,minor,dent,15.58,5837
back_bumper,minor,scratch,19.68,1174
front_glass,minor,lamp broken,4.68,11966
front_door,minor,crack,2.85,4317
front_door,minor,glass shatter,7.69,11718
back_bumper,minor,tire flat,13.43,2327
back_door,moderate,crack,17.9,7356
front_bumper,severe,tire flat,12.79,5462
back_door,minor,glass shatter,18.12,11535
front_door,minor,tire flat,2.56,3104
front_bumper,moderate,scratch,23.26,2391
front_door,minor,lamp broken,24.64,8435
back_light,minor,glass shatter,14.3,3662
hood,moderate,scratch,3.07,3358
front_light,minor,lamp broken,10.83,3195
back_glass,moderate,crack,11.8,11365
front_door,moderate,scratch,19.73,3297
back_glass,minor,scratch,22.86,2158
back_door,minor,lamp broken,4.95,6246
back_light,severe,crack,13.45,4532
back_door,minor,crack,23.95,4622
front_bumper,minor,lamp broken,13.06,4758
back_glass,moderate,scratch,18.3,4171
back_bumper,minor,dent,23.77,3021
front_bumper,minor,tire flat,14.73,2402
back_bumper,moderate,glass shatter,14.09,11883
front_bumper,minor,glass shatter,20.38,7617
front_light,moderate,dent,4.79,2777
front_light,minor,scratch,4.45,837
front_door,severe,tire flat,9.29,8201
front_door,moderate,lamp broken,8.66,11917
front_bumper,minor,glass shatter,3.32,6783
front_glass,minor,lamp broken,24.1,14853
front_door,moderate,lamp broken,5.56,10680
hood,minor,glass shatter,8.4,10840
front_glass,minor,lamp broken,6.78,12565
back_bumper,minor,dent,15.34,2963
front_light,minor,crack,21.33,2211
front_bumper,minor,tire flat,10.68,1976
back_bumper,moderate,lamp broken,9.7,7296
front_glass,minor,lamp broken,14.2,13912
back_door,severe,scratch,10.45,4895
front_door,severe,lamp broken,19.12,18449
hood,minor,glass shatter,2.09,10917
front_door,minor,glass shatter,4.57,11342
back_glass,severe,crack,8.64,16489
front_bumper,minor,lamp broken,20.88,5511
front_bumper,moderate,glass shatter,9.84,13056
front_glass,minor,lamp broken,22.57,14635
back_bumper,minor,lamp broken,24.21,5399
back_light,minor,tire flat,12.53,1157
front_glass,moderate,scratch,6.81,5220
back_door,minor,scratch,8.53,1505
back_light,minor,glass shatter,15.68,3800
back_bumper,minor,tire flat,5.98,1902
front_light,minor,lamp broken,23.96,3282
hood,minor,crack,17.22,6947
front_bumper,minor,lamp broken,23.98,5180
front_bumper,severe,scratch,24.57,3993
back_light,moderate,tire flat,8.61,1797
front_bumper,minor,crack,17.24,3562
front_glass,severe,crack,20.31,22500
front_bumper,minor,tire flat,23.18,2523
front_light,minor,scratch,13.93,893
front_bumper,minor,scratch,18.78,1249
back_bumper,severe,tire flat,6.42,4940
back_door,minor,glass shatter,12.34,10326
back_glass,severe,dent,24.47,13489
front_light,moderate,glass shatter,19.14,7304
front_bumper,minor,tire flat,19.45,2478
back_light,moderate,lamp broken,21.41,3946
back_glass,moderate,glass shatter,5.22,24551
front_glass,minor,glass shatter,18.98,20700
front_bumper,minor,dent,14.63,2643
front_door,minor,crack,16.39,5185
back_glass,minor,lamp broken,5.63,8117
back_glass,minor,tire flat,7.17,3664
front_door,moderate,crack,19.17,7869
front_glass,minor,glass shatter,3.08,18173
back_glass,minor,scratch,23.46,2128
front_glass,minor,scratch,7.41,2923
back_bumper,moderate,crack,17.63,4840
back_door,minor,glass shatter,10.73,9741
front_bumper,minor,tire flat,22.99,2267
back_light,severe,scratch,12.48,1727
front_door,moderate,glass shatter,22.91,19867
back_light,moderate,scratch,15.3,1201
hood,minor,glass shatter,9.68,14206
back_door,moderate,dent,22.67,6126
hood,minor,scratch,21.51,2287
back_light,moderate,tire flat,3.18,1836
back_bumper,minor,glass shatter,10.97,6872
hood,moderate,glass shatter,8.4,18059
front_bumper,moderate,dent,14.88,4320
front_door,minor,tire flat,24.86,3835
back_door,minor,glass shatter,10.81,10501
front_glass,severe,crack,10.18,25321
front_glass,minor,glass shatter,24.14,21200
back_glass,moderate,tire flat,3.85,7563
front_glass,minor,lamp broken,24.49,14617
back_bumper,minor,crack,18.26,3264
front_glass,minor,scratch,9.31,2901
back_door,moderate,dent,11.06,6851
back_bumper,minor,scratch,3.42,977
back_bumper,moderate,scratch,10.65,1801
back_light,minor,dent,24.84,1442
front_door,moderate,lamp broken,17.14,11870
front_bumper,severe,scratch,13.51,3430
front_bumper,moderate,dent,15.2,5328
back_glass,moderate,tire flat,14.34,6036
front_door,moderate,tire flat,19.86,5255
front_glass,minor,glass shatter,10.04,19240
front_light,moderate,scratch,8.22,1364
front_light,moderate,dent,24.23,3169
back_glass,minor,glass shatter,5.88,13731
front_light,minor,crack,18.39,2026
front_bumper,moderate,glass shatter,15.47,14149
back_light,moderate,lamp broken,14.41,4390
front_door,severe,crack,1.37,14403
back_door,severe,tire flat,12.49,7369
back_light,severe,glass shatter,14.25,10965
front_glass,minor,glass shatter,9.62,16635
hood,minor,glass shatter,20.27,14168
front_door,minor,scratch,10.93,1858
back_light,minor,tire flat,7.26,1262
front_glass,minor,crack,8.92,8223
back_light,moderate,glass shatter,23.64,6309
front_light,moderate,tire flat,12.77,2078
front_door,minor,scratch,14.12,1682
hood,severe,tire flat,13.57,11504
back_door,minor,tire flat,1.15,2529
back_light,moderate,dent,1.22,2335
front_door,moderate,dent,17.0,7279
front_light,minor,tire flat,1.16,1324
back_bumper,minor,dent,7.59,2959
back_bumper,moderate,lamp broken,17.18,8771
back_glass,severe,dent,13.59,13180
hood,moderate,crack,7.42,9687
front_door,minor,glass shatter,6.84,10881
front_bumper,moderate,tire flat,2.93,4181
back_bumper,minor,dent,10.05,2610
back_bumper,minor,tire flat,13.0,2033
front_door,severe,lamp broken,24.37,23087
back_bumper,minor,scratch,21.83,1373
front_light,minor,crack,2.78,2324
hood,moderate,lamp broken,5.3,15846
back_bumper,moderate,scratch,19.05,2156
front_glass,minor,dent,14.53,7298
front_glass,moderate,tire flat,8.96,9712
back_glass,moderate,tire flat,13.02,7866
back_bumper,minor,dent,21.13,2638
front_glass,minor,crack,7.56,9680
front_light,minor,scratch,23.59,812
front_glass,moderate,dent,8.09,10719
back_door,minor,dent,10.12,4112
back_glass,minor,tire flat,9.66,3595
front_bumper,minor,glass shatter,7.47,6583
back_glass,minor,glass shatter,14.31,13340
back_bumper,minor,dent,3.23,2615
front_door,minor,glass shatter,10.93,11346
hood,moderate,scratch,5.07,3466
back_glass,minor,crack,12.83,5682
front_glass,minor,crack,12.62,7603
front_bumper,moderate,scratch,12.9,2267
front_light,minor,dent,1.16,1627
front_glass,minor,crack,11.33,9431
back_glass,minor,crack,23.73,6247
front_door,severe,scratch,24.25,4859
front_light,moderate,lamp broken,8.82,4831
front_glass,minor,crack,14.53,8985
hood,moderate,scratch,14.2,4245
front_light,minor,tire flat,20.14,1566
back_door,moderate,glass shatter,4.34,14829
front_bumper,minor,tire flat,11.16,2201
front_light,minor,lamp broken,10.62,3129
front_glass,minor,lamp broken,24.24,14085
hood,moderate,lamp broken,3.04,15334
front_door,moderate,scratch,2.06,3324
front_glass,severe,crack,11.33,19709
front_bumper,minor,scratch,13.45,1350
back_light,minor,glass shatter,12.11,3965
hood,minor,scratch,1.59,1873
front_glass,minor,dent,23.58,6682
front_bumper,minor,crack,5.96,3482
front_light,minor,dent,17.72,1720
front_bumper,moderate,dent,3.76,5202
back_door,moderate,tire flat,23.32,5599
hood,moderate,scratch,8.94,3580
front_light,moderate,scratch,16.11,1213
front_glass,minor,glass shatter,15.74,16777
front_glass,minor,glass shatter,6.16,16447
back_door,minor,lamp broken,21.93,6481
front_door,minor,scratch,7.3,1982
hood,minor,tire flat,10.33,3745
back_door,minor,crack,11.99,4236
front_bumper,moderate,lamp broken,17.13,8459
back_light,minor,crack,9.96,1597
front_glass,moderate,glass shatter,14.8,29847
front_light,minor,tire flat,23.06,1629
back_glass,minor,lamp broken,7.93,8408
front_light,minor,lamp broken,9.62,2664
back_glass,moderate,scratch,24.13,4161
front_light,moderate,glass shatter,10.98,8239
front_light,minor,scratch,1.74,804
front_bumper,minor,dent,13.9,2686
front_light,moderate,lamp broken,19.38,5501
back_door,minor,lamp broken,19.6,7721
front_door,moderate,lamp broken,2.0,12394
hood,severe,scratch,3.46,6248
back_light,moderate,crack,1.77,2660
back_door,moderate,glass shatter,3.82,17118
back_light,moderate,tire flat,9.42,2003
front_glass,moderate,scratch,19.84,5930
back_bumper,minor,lamp broken,7.75,4674
front_door,minor,tire flat,14.75,3679
hood,moderate,tire flat,4.25,6714
front_glass,severe,dent,21.81,17594
back_glass,minor,scratch,8.73,2151
front_glass,minor,glass shatter,16.18,19123
front_glass,minor,glass shatter,20.07,20238
front_glass,moderate,lamp broken,17.67,23888
front_light,minor,glass shatter,1.06,4629
back_door,severe,tire flat,16.24,8573
back_door,minor,lamp broken,24.24,7887
front_light,minor,crack,7.81,2148
back_glass,moderate,lamp broken,19.92,18181
back_bumper,minor,dent,19.81,2718
back_door,minor,scratch,1.02,1830
back_light,severe,tire flat,22.17,3018
front_bumper,moderate,dent,7.01,4618
back_glass,minor,dent,8.33,5517
back_light,moderate,glass shatter,17.89,5514
front_light,minor,dent,6.43,1812
back_bumper,moderate,dent,20.61,5255
front_glass,minor,tire flat,2.7,5082
back_door,minor,dent,22.14,3591
back_glass,severe,tire flat,4.43,10706
back_bumper,moderate,lamp broken,11.56,8352
back_glass,moderate,glass shatter,11.62,20701
back_door,moderate,scratch,15.15,2783
front_glass,moderate,crack,6.95,14661
back_light,moderate,lamp broken,18.31,4215
back_bumper,moderate,tire flat,5.93,3444
back_light,minor,tire flat,16.51,1267
back_light,minor,glass shatter,6.79,3821
back_door,moderate,lamp broken,1.29,10344
front_door,minor,scratch,21.14,1869
hood,minor,tire flat,12.3,4457
back_door,moderate,dent,1.33,5563
back_bumper,minor,glass shatter,16.09,6912
front_glass,moderate,glass shatter,2.98,29158
back_glass,minor,crack,2.9,6967
back_glass,minor,lamp broken,15.07,10303
back_door,moderate,crack,18.52,8858
back_bumper,minor,scratch,11.43,1160
back_bumper,moderate,crack,16.79,5004
back_bumper,minor,tire flat,1.27,1957
front_door,minor,lamp broken,20.74,7103
front_door,moderate,scratch,21.96,3417
back_door,minor,dent,11.3,3846
front_bumper,severe,tire flat,16.06,6224
hood,minor,crack,21.62,5781
back_glass,moderate,crack,22.46,11917
back_door,moderate,scratch,1.06,2973
back_bumper,minor,scratch,9.74,1309
back_glass,moderate,dent,22.93,9951
front_glass,minor,scratch,10.99,3330
front_bumper,moderate,dent,3.87,4963
back_bumper,minor,scratch,13.38,1029
front_glass,moderate,dent,21.78,13318
front_bumper,minor,crack,11.96,3464
front_bumper,moderate,lamp broken,18.75,8336
front_door,severe,lamp broken,24.95,22428
hood,minor,scratch,23.38,2021
hood,moderate,crack,17.64,8982
front_door,moderate,dent,10.03,7286
front_bumper,minor,dent,24.59,3049
back_bumper,moderate,scratch,3.23,2115
hood,moderate,glass shatter,9.94,24058
back_door,minor,lamp broken,4.2,7173
back_door,moderate,lamp broken,11.44,12855
back_light,minor,crack,8.56,1927
front_door,minor,crack,6.61,5550
back_glass,minor,lamp broken,3.54,8923
front_door,minor,glass shatter,9.6,11248
front_light,minor,crack,21.46,1988
front_bumper,moderate,tire flat,1.97,3996
front_door,minor,scratch,6.96,1715
hood,moderate,dent,7.24,9331
back_bumper,moderate,glass shatter,14.34,11591
back_door,minor,glass shatter,20.05,9044
back_bumper,minor,scratch,20.77,1182
back_door,moderate,lamp broken,23.02,10466
back_door,severe,scratch,11.64,4043
front_door,minor,dent,12.06,3728
front_glass,minor,tire flat,1.71,5514
back_glass,minor,crack,5.49,5883
back_glass,moderate,dent,15.81,9388
front_light,moderate,glass shatter,12.5,6644
front_glass,minor,scratch,16.42,3487
back_light,severe,tire flat,14.05,2654
front_glass,minor,tire flat,14.07,5531
hood,minor,crack,5.32,5619
back_light,moderate,dent,19.68,2218
front_light,minor,lamp broken,15.02,2940
back_glass,minor,dent,6.79,5226
back_bumper,moderate,scratch,24.58,2014
back_glass,minor,scratch,8.63,2481
front_door,minor,lamp broken,17.81,8520
back_glass,severe,lamp broken,21.08,28604
front_light,minor,lamp broken,12.77,2779
back_light,minor,lamp broken,13.63,2256
back_light,minor,scratch,5.26,690
front_door,minor,dent,15.08,4695
back_door,moderate,lamp broken,24.05,11558
front_glass,minor,lamp broken,8.24,11046
back_glass,severe,tire flat,20.0,12952
front_door,moderate,scratch,14.49,3443
front_door,moderate,scratch,20.55,3067
front_bumper,minor,scratch,1.04,1315
front_glass,minor,lamp broken,15.46,14350
back_light,moderate,tire flat,23.48,1803
back_door,minor,scratch,8.67,1742
back_door,moderate,tire flat,18.5,4875
back_bumper,minor,crack,17.64,3183
back_door,minor,tire flat,10.26,3156
back_glass,minor,glass shatter,10.09,13618
back_door,moderate,glass shatter,14.87,17787
back_light,minor,scratch,20.18,587
back_bumper,minor,crack,3.51,2969
front_glass,moderate,scratch,14.13,5907
back_door,moderate,crack,15.73,7903
back_bumper,severe,glass shatter,4.96,19464
back_glass,minor,dent,5.93,4688
hood,severe,tire flat,13.96,10980
front_bumper,minor,scratch,10.43,1319
front_light,minor,scratch,1.09,656
front_light,minor,scratch,5.97,794
back_door,moderate,glass shatter,8.4,15566
front_light,minor,tire flat,16.4,1358
front_door,minor,glass shatter,11.7,9805
front_light,minor,crack,7.45,1845
back_door,moderate,dent,20.4,6473
back_light,minor,lamp broken,10.29,2616
hood,moderate,tire flat,12.4,7231
front_light,minor,crack,22.67,2412
hood,severe,lamp broken,20.21,25953
back_glass,severe,dent,11.78,15983
back_glass,moderate,scratch,4.03,3698
front_glass,severe,scratch,16.05,9376
front_bumper,severe,crack,22.94,8829
front_glass,minor,lamp broken,8.83,11581
front_light,moderate,dent,15.95,3022
front_glass,minor,dent,4.56,7001
back_door,moderate,dent,3.42,5746
hood,moderate,crack,7.34,10434
front_light,minor,dent,10.67,1818
front_glass,minor,dent,22.09,7822
back_bumper,minor,tire flat,7.45,1944
front_door,minor,crack,21.23,5812
back_door,minor,scratch,24.38,1772
front_door,moderate,crack,15.52,7524
front_light,severe,scratch,10.77,2074
hood,moderate,crack,13.37,9253
front_bumper,minor,tire flat,4.26,2435
back_bumper,minor,scratch,20.99,1349
back_light,minor,dent,23.03,1643
front_bumper,moderate,crack,13.12,6274
back_door,minor,tire flat,9.94,3032
back_glass,moderate,glass shatter,9.39,20134
front_bumper,moderate,tire flat,3.17,3158
back_bumper,moderate,scratch,19.72,1867
back_light,minor,tire flat,5.96,1162
hood,moderate,dent,24.21,9302
front_light,moderate,scratch,15.43,1140
front_bumper,moderate,lamp broken,8.33,9750
front_bumper,moderate,glass shatter,21.44,12958
back_light,minor,glass shatter,13.5,3929
back_door,minor,dent,16.9,4312
front_door,moderate,lamp broken,15.62,11706
back_door,minor,glass shatter,24.72,10806
front_bumper,moderate,crack,23.85,6620
back_light,minor,scratch,6.77,556
front_glass,minor,tire flat,4.36,4571
front_light,minor,crack,11.05,2082
back_bumper,moderate,lamp broken,14.73,7243
back_light,minor,tire flat,19.84,1329
